group,name,uscc,tier,track,form,origin,vintage,reason,risk_flags
三、新型研发机构与院所平台,海南卫星海洋应用研究院有限公司,91460000MA5TNAHC1Y,A 核心赛道-优先访谈,深海海洋,独立法人,本地(省级),MA5,卫星遥感+海洋交叉,
三、新型研发机构与院所平台,绿川鲜食玉米研究院（海南）有限公司,91460000MA5TW5D62F,A 核心赛道-优先访谈,南繁种业,独立法人,本地(省级),MA5,作物专项研究院,
三、新型研发机构与院所平台,海南经济特区敦种作物种子研究院有限公司,91460000MA5TPBBRX0,A 核心赛道-优先访谈,南繁种业,独立法人,本地(省级),MA5,种子研究院,
三、新型研发机构与院所平台,中热科（海南）海洋与农业研究院有限公司,91460100069661050T,A 核心赛道-优先访谈,深海海洋,独立法人,省内迁入/外设,旧版(2015前),2015 年前老机构，海洋与农业双线,
三、新型研发机构与院所平台,三亚南繁国农种业研究有限公司,91460000MACWB0FC1N,A 核心赛道-优先访谈,南繁种业,独立法人,本地(省级),MAC,种业研究主体,
三、新型研发机构与院所平台,三亚崖州湾创新科技国际咨询研究院有限公司,91460200MA5THTCA2T,E 非目标/对照组池,非目标,独立法人,本地(三亚),MA5,园区咨询研究载体,
四、深海民营与初创（技术型中小样本）,海南狮子鱼深海技术有限公司,91460000MA5TNM0J3A,A 核心赛道-优先访谈,深海海洋,独立法人,本地(省级),MA5,深海技术民企,
四、深海民营与初创（技术型中小样本）,塔沃（海南）深海科技有限公司,91460000MAA9011D9M,A 核心赛道-优先访谈,深海海洋,独立法人,本地(省级),MAA,深海科技,
四、深海民营与初创（技术型中小样本）,海南叁能锐达深海科技有限公司,91460000MAE0EC7A8Y,A 核心赛道-优先访谈,深海海洋,独立法人,本地(省级),MAE,深海科技,
四、深海民营与初创（技术型中小样本）,海南清大博雅深海智能装备有限公司,91460000MAE2BA1E2X,A 核心赛道-优先访谈,深海海洋,独立法人,本地(省级),MAE,高校系深海智能装备,
四、深海民营与初创（技术型中小样本）,海南时空链深海智能装备有限公司,91460000MAK4JB2E8P,A 核心赛道-优先访谈,深海海洋,独立法人,本地(省级),MAK,MAK 代际，最新注册队列,
四、深海民营与初创（技术型中小样本）,海南云帆深海科技装备有限公司,91460000MAK7R9TE0N,A 核心赛道-优先访谈,深海海洋,独立法人,本地(省级),MAK,MAK 代际，最新注册队列,
四、深海民营与初创（技术型中小样本）,海南深海科技有限公司,91460000MA5T8LPR3G,A 核心赛道-优先访谈,深海海洋,独立法人,本地(省级),MA5,名称最泛化的深海主体，值得核实实体性,
四、深海民营与初创（技术型中小样本）,三亚创信深海开发有限公司,91460000MAE14P6F4N,A 核心赛道-优先访谈,深海海洋,独立法人,本地(省级),MAE,深海开发,
五、资金侧与园区平台（访谈出资方，不入企业样本）,三亚崖州湾创业投资有限公司,91460200MA5TG8QA9T,E 非目标/对照组池,非目标,独立法人,本地(三亚),MA5,园区自有创投载体，引导基金问题的直接对象,纯投资/控股载体
五、资金侧与园区平台（访谈出资方，不入企业样本）,三亚崖州湾科技城控股集团有限公司,91460200MA5T89HQ12,E 非目标/对照组池,非目标,独立法人,本地(三亚),MA5,园区控股平台,纯投资/控股载体
五、资金侧与园区平台（访谈出资方，不入企业样本）,三亚崖州湾科技城投资控股有限公司,91460200MA5TFHHN7J,E 非目标/对照组池,非目标,独立法人,本地(三亚),MA5,园区投资平台,纯投资/控股载体
五、资金侧与园区平台（访谈出资方，不入企业样本）,三亚崖州湾科技城开发建设有限公司,91460200MA5T9DX15F,D 名称无行业信号,待判定,独立法人,本地(三亚),MA5,园区开发建设主体,
五、资金侧与园区平台（访谈出资方，不入企业样本）,三亚崖州湾创新发展中心有限公司,91469001MA5TP75T7U,D 名称无行业信号,待判定,独立法人,省内迁入/外设,MA5,园区创新服务主体,
五、资金侧与园区平台（访谈出资方，不入企业样本）,三亚崖州湾国际农业科技孵化器有限公司,91460105MAA96XK54A,A 核心赛道-优先访谈,南繁种业,独立法人,省内迁入/外设,MAA,孵化器，可问在孵企业筛选标准,
五、资金侧与园区平台（访谈出资方，不入企业样本）,南繁科技城有限公司,91460200MA5T6FBA83,A 核心赛道-优先访谈,南繁种业,独立法人,本地(三亚),MA5,南繁片区平台,
